Birds of Passage,2018,"Crime, Drama",Not Rated,125 ,7.5
Birds of Passage,2018,"Crime, Drama",Not Rated,125 ,7.5
Ready Player One,2018,"Action, Adventure, Sci-Fi",PG-13,140 ,7.4
Beautiful Boy,2018,"Biography, Drama",R,120 ,7.4
Mirage,2018,"Drama, Fantasy, Mystery",TV-MA,128 ,7.4
Eighth Grade,2018,"Comedy, Drama",R,93 ,7.4
Love Sonia,2018,Drama,N/A,122 ,7.4
Kona fer í stríð,2018,"Adventure, Comedy, Drama",Not Rated,101 ,7.4
Raid,2018,"Action, Crime, Drama",Not Rated,122 ,7.4
102 Not Out,2018,"Comedy, Drama",PG,102 ,7.4
Clergy,2018,Drama,N/A,133 ,7.4
Keys to the Heart,2018,"Comedy, Drama, Family",N/A,120 ,7.4
Bhor: Dawn,2018,Drama,N/A,93 ,7.4
Hereditary,2018,"Drama, Horror, Mystery",R,127 ,7.3
Black Panther,2018,"Action, Adventure, Sci-Fi",PG-13,134 ,7.3
First Man,2018,"Biography, Drama, History",PG-13,141 ,7.3
Mid90s,2018,"Comedy, Drama",R,85 ,7.3
The Guernsey Literary and Potato Peel Pie Society,2018,"Drama, Romance, War",TV-14,124 ,7.3
Okja,2017,"Action, Adventure, Drama",TV-MA,120 ,7.3
The Nightingale,2018,"Adventure, Drama, Thriller",R,136 ,7.3
I Can Only Imagine,2018,"Biography, Drama, Family",PG,110 ,7.3
The Spy Gone North,2018,"Drama, Thriller",Not Rated,137 ,7.3
Butterflies,2018,"Comedy, Drama",N/A,117 ,7.3
The Whiskey Bandit,2017,"Action, Biography, Crime",N/A,126 ,7.3
Eternal Winter,2018,"Drama, History, Romance",N/A,110 ,7.3
Gold,2018,"Drama, History, Sport",Not Rated,151 ,7.3
The Ballad of Buster Scruggs,2018,"Comedy, Drama, Musical",R,133 ,7.2
Papillon,2017,"Adventure, Biography, Crime",R,133 ,7.2
Vice,2018,"Biography, Comedy, Drama",R,132 ,7.2
Christopher Robin,2018,"Adventure, Comedy, Drama",PG,104 ,7.2
Dogman,2018,"Crime, Drama, Thriller",Not Rated,103 ,7.2
Brian Banks,2018,"Biography, Drama, Sport",PG-13,99 ,7.2
Trautmann,2018,"Biography, Drama, Romance",N/A,120 ,7.2
Fahrenheit 11/9,2018,Documentary,R,128 ,7.2
Sicario: Day of the Soldado,2018,"Action, Crime, Drama",R,122 ,7.1
Bad Times at the El Royale,2018,"Crime, Drama, Mystery",R,141 ,7.1
Leave No Trace,2018,"Adventure, Drama",PG,109 ,7.1
Creed II,2018,"Action, Drama, Sport",PG-13,130 ,7.1
Wild Rose,2018,"Drama, Music",R,101 ,7.1
If Beale Street Could Talk,2018,"Drama, Romance",R,119 ,7.1
Can You Ever Forgive Me?,2018,"Biography, Comedy, Crime",R,106 ,7.1
Black Mirror: Bandersnatch,2018,"Drama, Fantasy, Mystery",TV-MA,90 ,7.1
Padmaavat,2018,"Drama, History, Romance",Not Rated,163 ,7.1
The Witch: Part 1 - The Subversion,2018,"Action, Mystery, Sci-Fi",Not Rated,125 ,7.1
The Candidate,2018,"Drama, Mystery, Thriller",N/A,132 ,7.1
Steel Rain,2017,"Action, Drama, Thriller",TV-MA,139 ,7.1
Beauty and the Dogs,2017,"Crime, Drama, Thriller",TV-MA,100 ,7.1
Wrath of Silence,2017,"Crime, Drama, Mystery",Not Rated,120 ,7.1
Loveling,2018,"Comedy, Drama",N/A,95 ,7.1
Den of Thieves,2018,"Action, Crime, Drama",R,140 ,7
Ant-Man and the Wasp,2018,"Action, Adventure, Comedy",PG-13,118 ,7
The Mule,2018,"Crime, Drama, Thriller",R,116 ,7
To All the Boys I've Loved Before,2018,"Comedy, Drama, Romance",TV-14,99 ,7
American Animals,2018,"Biography, Crime, Drama",R,116 ,7
Thunder Road,2018,"Comedy, Drama",N/A,92 ,7
Border,2018,"Crime, Drama, Fantasy",R,110 ,7
The Christmas Chronicles,2018,"Adventure, Comedy, Family",PG,104 ,7
Shadow,2018,"Action, Adventure, Fantasy",Not Rated,116 ,7
The Great Battle,2018,"Action, Drama, History",Not Rated,136 ,7
The 8-Year Engagement,2017,"Drama, Romance",N/A,119 ,7
Crazy Rich Asians,2018,"Comedy, Drama, Romance",PG-13,120 ,6.9
Solo: A Star Wars Story,2018,"Action, Adventure, Sci-Fi",PG-13,135 ,6.9
777 Charlie,2022,"Adventure, Comedy, Drama",N/A,164 ,8.8
Rocketry: The Nambi Effect,2022,"Biography, Drama",Not Rated,157 ,8.7
The Kashmir Files,2022,Drama,Not Rated,170 ,8.6
Top Gun: Maverick,2022,"Action, Drama",PG-13,130 ,8.3
Kantara,2022,"Action, Adventure, Drama",Not Rated,148 ,8.2
Black Bird,2022,"Biography, Crime, Drama",TV-MA,347 ,8.1
Gargi,2022,"Drama, Thriller",N/A,140 ,8.1
Leila's Brothers,2022,Drama,N/A,165 ,7.9
Chernobyl: The Lost Tapes,2022,"Documentary, History",N/A,96 ,7.9
The Batman,2022,"Action, Crime, Drama",PG-13,176 ,7.8
Everything Everywhere All at Once,2022,"Action, Adventure, Comedy",R,139 ,7.8
All Quiet on the Western Front,2022,"Action, Drama, War",R,148 ,7.8
Puss in Boots: The Last Wish,2022,"Animation, Adventure, Comedy",PG,102 ,7.8
RRR,2022,"Action, Drama",Not Rated,187 ,7.8
Close,2022,Drama,PG-13,104 ,7.8
Thirteen Lives,2022,"Action, Adventure, Biography",PG-13,147 ,7.8
Gangubai Kathiawadi,2022,"Biography, Crime, Drama",TV-MA,152 ,7.8
"The Boy, the Mole, the Fox and the Horse",2022,"Animation, Short, Adventure",TV-G,32 ,7.8
The Banshees of Inisherin,2022,"Comedy, Drama",R,114 ,7.7
The Whale,2022,Drama,R,117 ,7.7
The Worst Person in the World,2021,"Comedy, Drama, Romance",R,128 ,7.7
The Quiet Girl,2022,Drama,PG-13,95 ,7.7
The Eight Mountains,2022,Drama,Not Rated,147 ,7.7
Marcel the Shell with Shoes On,2021,"Animation, Comedy, Drama",PG,90 ,7.7
Navalny,2022,"Documentary, Biography",R,99 ,7.7
Lucy and Desi,2022,"Documentary, Biography, Comedy",PG,103 ,7.7
Hawa,2022,"Drama, Mystery",N/A,131 ,7.7
In Search of Tomorrow,2022,"Documentary, Sci-Fi",N/A,305 ,7.7
Siya,2022,"Crime, Drama",N/A,117 ,7.7
Avatar: The Way of Water,2022,"Action, Adventure, Fantasy",PG-13,192 ,7.6
Aftersun,2022,Drama,R,102 ,7.6
Guillermo del Toro's Pinocchio,2022,"Animation, Drama, Family",PG,117 ,7.6
Joyland,2022,Drama,N/A,126 ,7.6
"Argentina, 1985",2022,"Biography, Crime, Drama",R,140 ,7.6
The Blue Caftan,2022,"Drama, Romance",N/A,122 ,7.6
Fire of Love,2022,"Documentary, Biography",PG,98 ,7.6
Ice Merchants,2022,"Animation, Short, Drama",N/A,14 ,7.6
A Man Called Otto,2022,"Comedy, Drama",PG-13,126 ,7.5
The Fabelmans,2022,Drama,PG-13,151 ,7.5
All the Beauty and the Bloodshed,2022,Documentary,Unrated,122 ,7.5
Wheel of Fortune and Fantasy,2021,"Drama, Romance",N/A,121 ,7.5
The Elephant Whisperers,2022,"Documentary, Short",PG,41 ,7.5
The Lost Leonardo,2021,"Documentary, Mystery",PG-13,96 ,7.5
Tár,2022,"Drama, Music",R,158 ,7.4
Downton Abbey: A New Era,2022,"Drama, Romance",PG,124 ,7.4
The Swimmers,2022,"Biography, Drama, Sport",PG-13,134 ,7.4
The Red Suitcase,2022,"Short, Drama",N/A,18 ,7.4
Bullet Train,2022,"Action, Comedy, Thriller",R,127 ,7.3
Elvis,2022,"Biography, Drama, Music",PG-13,159 ,7.3
Triangle of Sadness,2022,"Comedy, Drama",R,147 ,7.3
Decision to Leave,2022,"Crime, Drama, Mystery",Not Rated,139 ,7.3
1899,2022,"Drama, Horror, Mystery",TV-MA,60 ,7.3
Hustle,2022,"Comedy, Drama, Sport",R,117 ,7.3
Holy Spider,2022,"Crime, Drama, Thriller",N/A,118 ,7.3
She Said,2022,"Drama, History",R,129 ,7.3
Entergalactic,2022,"Animation, Comedy, Music",TV-MA,93 ,7.3
The Conference,2022,"Drama, History, War",N/A,108 ,7.3
War Sailor,2022,"Drama, War",TV-MA,150 ,7.3
Nuclear Now,2022,Documentary,N/A,105 ,7.3
Hit the Road,2021,"Comedy, Drama, Music",N/A,93 ,7.3
The Menu,2022,"Comedy, Horror, Thriller",R,107 ,7.2
Where the Crawdads Sing,2022,"Drama, Mystery, Romance",PG-13,125 ,7.2
The Outfit,2022,"Crime, Drama, Mystery",R,105 ,7.2
"Good Luck to You, Leo Grande",2022,"Comedy, Drama",R,97 ,7.2
Living,2022,Drama,PG-13,102 ,7.2
Till,2022,"Biography, Crime, Drama",PG-13,130 ,7.2
American Dreamer,2022,Comedy,N/A,98 ,7.2
An Irish Goodbye,2022,"Short, Comedy, Drama",N/A,23 ,7.2
A House Made of Splinters,2022,Documentary,N/A,87 ,7.2
Lullaby,2022,Drama,N/A,104 ,7.2
Utama,2022,Drama,N/A,87 ,7.2
An Ostrich Told Me the World Is Fake and I Think I Believe It,2022,"Animation, Short, Comedy",N/A,11 ,7.2
Haulout,2022,"Documentary, Short",N/A,25 ,7.2
Talk to Me,2022,"Horror, Thriller",R,95 ,7.1
Babylon,2022,"Comedy, Drama, History",R,189 ,7.1
Glass Onion,2022,"Comedy, Crime, Drama",PG-13,139 ,7.1
Prey,2022,"Action, Adventure, Drama",R,100 ,7.1
West Side Story,2021,"Crime, Drama, Musical",PG-13,156 ,7.1
Mrs. Harris Goes to Paris,2022,"Comedy, Drama",PG,115 ,7.1
God's Crooked Lines,2022,"Drama, Mystery, Thriller",TV-MA,154 ,7.1
